time_ms,depth_cm
9351,0.0
9859,0.1
10368,0.2
10878,0.3
11389,0.4
11900,0.5
12413,0.6
12925,0.7
13439,0.8
13955,0.9
14472,1.0
15048,1.1
15589,1.2
16099,1.3
16611,1.4
17124,1.5
17638,1.6
18153,1.7
18669,1.8
19188,1.9
19763,2.0
20274,2.1
20787,2.2
21301,2.3
21819,2.4
22387,2.5
23930,2.5
24441,2.4
24954,2.3
25469,2.2
25986,2.1
26555,2.0
27067,1.9
27580,1.8
28096,1.7
28669,1.6
29180,1.5
29694,1.4
30211,1.3
30781,1.2
31339,1.1
31852,1.0
32367,0.9
32885,0.8
33460,0.7
33974,0.6
34489,0.5
35065,0.4
36579,0.4
37095,0.5
37652,0.6
38199,0.7
38748,0.8
39340,0.9
39911,1.0
40452,1.1
40994,1.2
41536,1.3
42081,1.4
42634,1.5
43187,1.6
43744,1.7
44304,1.8
44866,1.9
45429,2.0
45982,2.1
46531,2.2
47080,2.3
47630,2.4
48180,2.5
49792,2.5
50335,2.4
50878,2.3
51422,2.2
51967,2.1
52521,2.0
53073,1.9
53628,1.8
54188,1.7
54751,1.6
55313,1.5
55867,1.4
56416,1.3
56967,1.2
57518,1.1
58072,1.0
58684,0.9
59227,0.8
59772,0.7
60317,0.6
60864,0.5
61419,0.4
62972,0.4
63526,0.3
64083,0.2
64646,0.1
65210,-0.0
66765,-0.0
