time_ms,depth_cm
3713,0.0
4223,0.1
4735,0.2
5246,0.3
5758,0.4
6270,0.5
6783,0.6
7296,0.7
7813,0.8
8330,0.9
8905,1.0
9415,1.1
9927,1.2
10439,1.3
109532,1.4
11613,1.5
12125,1.6
12638,1.7
13152,1.8
13669,1.9
14190,2.0
14711,2.1
15285,2.2
15797,2.3
16312,2.4
16828,2.5
19347,2.5
19913,2.4
20426,2.3
20940,2.2
21457,2.1
21977,2.0
22540,1.9
23053,1.8
23567,1.7
24084,1.6
24646,1.5
25159,1.4
25675,1.3
26192,1.2
26752,1.1
27296,1.0
27811,0.9
28327,0.8
28847,0.7
29408,0.6
29923,0.5
30440,0.4
33005,0.4
33520,0.5
34037,0.6
34597,0.7
35153,0.8
35709,0.9
36316,1.0
36901,1.1
37454,1.2
38007,1.3
38559,1.4
39113,1.5
39667,1.6
40222,1.7
40776,1.8
41330,1.9
41887,2.0
42443,2.1
42999,2.2
43555,2.3
44111,2.4
44669,2.5
47228,2.5
47853,2.4
48407,2.3
48958,2.2
49509,2.1
50061,2.0
50614,1.9
51170,1.8
51724,1.7
52281,1.6
52838,1.5
53396,1.4
53951,1.3
54509,1.2
55067,1.1
55626,1.0
56185,0.9
56808,0.8
57361,0.7
57912,0.6
58467,0.5
59020,0.4
61576,0.4
62132,0.3
62687,0.2
63244,0.1
63801,-0.0
66359,-0.0
